,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM,Mkt-RF,SMB,HML,RF
199309,2.3688,2.0851,3.1599,3.084,3.0213,3.6872,3.6306,2.5647,2.4458,2.319,4.1351,1.0754,1.2949,1.0385,0.3331,0.5686,1.4524,0.9977,-1.0718,-0.5317,-1.3242,-1.6335,0.3232,1.4279,-0.6819,-0.12,2.98,-0.35,0.26
199310,5.4419,5.0812,4.4392,4.5559,4.2186,4.0224,1.6642,1.9241,0.9628,0.6302,2.2834,-1.078,0.268,-0.2972,3.1582,3.4029,0.5475,-0.0822,-0.6376,-2.2635,4.7734,1.375,-0.7833,-0.4885,-0.5826,1.41,2.03,-2.78,0.22
199311,-4.1451,-2.7485,-1.8125,-2.1307,-1.8253,-3.2226,-2.4279,-2.4173,-4.3877,-4.1635,-2.5141,-2.0101,-3.2075,-3.361,-0.4635,-2.3144,-2.512,-2.5762,-2.2404,-5.5921,1.8089,-1.9616,-2.0869,-3.9302,0.8255,-1.89,-1.13,-0.66,0.25
199312,0.9364,0.4734,1.8489,1.3742,1.1175,2.3037,4.4917,4.7004,1.8989,3.836,3.7173,6.2728,5.3356,5.1686,2.257,4.0909,6.445,3.8577,3.0142,2.6622,0.2065,2.2361,0.8367,1.235,1.7292,1.65,1.2,0.27,0.23
199401,2.6677,6.4324,5.6076,4.6377,5.821,1.3968,1.7023,2.2365,2.6021,4.9158,1.6457,2.1364,1.3643,3.1974,6.2414,2.5632,3.0566,5.1342,3.2826,1.8777,1.6534,4.7549,4.2499,2.9345,2.8786,2.87,0.51,1.28,0.25
199402,-3.0213,1.3675,0.6697,-0.0098,-0.1674,-0.6819,0.1041,0.0942,-1.8509,-1.0546,-0.6349,1.5345,0.6828,-1.3779,-1.3658,-1.4114,0.32,-1.2238,-2.482,-5.4392,-1.7958,-2.0759,-3.7272,-5.3428,-4.8768,-2.55,2.8,-1.56,0.21
199403,-7.8346,-5.0729,-4.7921,-4.4563,-2.9121,-7.0686,-5.5165,-5.1071,-3.9602,-5.423,-5.6445,-4.8168,-4.5091,-4.3092,-5.0486,-5.8863,-4.9576,-4.8668,-3.0639,-1.3979,-4.8162,-3.9767,-3.349,-3.918,-3.8601,-4.78,-1.14,1.55,0.27
199404,-3.9564,-0.0686,-1.5497,-0.8183,0.7183,-1.0533,0.7662,1.1946,1.8116,1.9013,-1.2888,2.0735,1.2007,1.0459,1.1015,-0.1116,0.4663,1.1386,1.7399,2.2119,1.2312,0.2733,2.2597,1.6149,2.0099,0.68,-0.92,1.66,0.27
199405,-2.61,-1.9437,-1.4008,0.0473,-0.3873,-2.3628,-2.5923,-1.2171,-0.4586,1.3603,-2.1779,-1.5111,0.5388,-1.2237,0.3426,-0.2194,-0.6283,1.2782,-0.9084,-1.8666,1.029,2.7345,2.6588,0.0329,3.4674,0.58,-2.12,0.7,0.31
199406,-6.6333,-5.2209,-4.4816,-2.1774,-2.0116,-5.7761,-2.869,-0.2097,-1.6269,-0.9038,-4.1903,-2.8457,0.098,-1.7032,-1.8012,-4.9467,-1.785,-3.405,-1.8767,-3.557,-2.8632,-2.6275,-2.2169,-1.282,-3.8089,-3.03,-0.4,1.67,0.31
